HD,HF,HO,HZ,IL,IN,IP,LC,LE,LG,AAN,GC
2094,160,1138,167,230,64,393,1407,996,1164,1517.797864,1
1296,0,905,351,104,79,404,569,410,593,639.944538,0
2906,6,2298,427,399,216,727,1896,1638,2144,1758.408085,1
1758,12,2005,369,350,28,512,2473,2302,3021,1855.273295,0
2670,96,1296,364,286,127,512,1470,816,1035,1227.700995,1
1794,13,1613,230,211,96,301,2170,1961,2135,1413.609077,1
1782,92,1080,400,209,80,504,983,639,888,882.149683,1
6950,168,6116,1235,1001,180,1661,6541,5365,6775,5541.627675,0
4255,254,4133,701,999,329,1042,4593,4071,5870,4398.648393,1
4325,11,3131,576,521,438,1035,3035,1864,2022,3138.169694,1
1107,103,978,192,250,72,255,1213,1061,1381,1476.978345,1
4120,68,1762,490,254,237,717,2473,1662,1618,1202.986496,1
5634,72,3586,853,560,192,1121,3792,3003,3730,2701.557647,1
2679,123,2086,756,385,191,747,1901,1356,1523,1560.76309,1
2323,99,1890,443,357,159,638,2028,1653,1975,1262.939159,1
2115,10,1783,683,210,56,566,1980,1414,1726,998.674681,1
2447,25,1721,594,212,136,656,1256,635,658,1003.375919,1
1041,65,846,332,100,16,284,750,631,953,900.824813,1
4106,232,4168,659,963,252,1244,4721,4404,5875,4237.024647,1
135,0,108,53,19,0,47,45,13,9,76.344911,0
2595,70,1170,227,146,81,394,1926,1248,1332,1005.14384,1
7026,95,5954,1819,724,593,2165,6971,5746,7433,2734.093058,1
4886,126,3962,967,469,562,1364,4738,3852,4387,2270.366178,1
460,0,360,17,86,93,96,282,115,94,305.364448,0
850,0,637,149,87,26,214,332,105,106,595.355862,1
3271,203,2220,656,397,120,726,1713,1084,1084,2318.137061,1
4465,138,3303,727,603,249,970,3251,2328,2400,3085.422882,1
1887,13,1494,673,153,38,483,987,398,348,916.853932,1
4651,12,3233,1295,318,391,1283,2822,1131,1108,2016.361808,1
495,0,398,122,40,9,147,246,96,78,314.116574,1
1430,33,1107,345,112,20,365,677,258,213,829.339988,0
638,30,671,103,150,30,180,517,440,574,635.057247,0
9606,179,7464,2181,1091,775,2532,7896,6024,7487,5636.848484,1
5650,128,4171,1313,626,419,1400,4687,3455,3901,3248.611797,1
14988,523,11457,4554,1424,619,3395,12299,7220,7693,8398.789497,1
1183,0,982,338,129,28,306,460,101,52,690.336658,1
2376,0,1391,509,178,227,627,1249,529,550,952.078617,0
2609,9,2089,664,291,170,697,2115,1717,2080,1647.691129,1
3894,326,3217,846,454,401,999,3078,2412,2873,2482.956459,1
