FT,FV,GS,GT,HD,HF,HH,JE,JG,JI,PU,ES
5634,72,827,3686,192,1121,2735,3792,3003,3730,2702,1
2106,82,236,1104,190,480,1145,1705,1274,1473,1398,1
5291,835,2048,4378,157,758,1428,4815,3832,4298,3351,1
5606,645,1408,3426,213,930,2017,6084,5206,6203,3948,1
10538,710,1106,3286,547,2279,5222,16151,14710,16484,9362,1
3472,302,589,2499,153,495,887,2211,1439,1607,1790,1
5710,311,938,4223,207,859,1563,3359,2082,2252,2884,1
1715,3490,2655,2141,35,407,661,2227,1661,1649,634,1
10131,738,1778,8334,377,1413,2445,6476,4023,4037,3879,1
634,63,38,312,73,204,294,203,88,65,247,0
9694,439,718,3275,888,2220,5361,4925,2673,2516,5781,1
317,0,18,127,0,70,230,116,54,41,242,1
3090,157,281,1469,199,623,1783,1876,1058,1284,1153,1
3671,98,241,796,225,905,2565,1477,369,258,2135,1
3733,337,701,3559,285,949,2185,2333,1553,1602,1132,1
3579,87,626,2735,225,783,1946,2832,2305,2636,1692,1
5966,114,977,4966,523,1230,2319,3665,2481,2238,1169,0
7569,238,2103,6573,428,1881,4543,5552,4258,4907,2293,1
4528,269,662,3487,166,770,1527,3119,2002,2136,2242,1
9829,870,1231,6710,263,1128,2111,5948,3059,2976,4177,1
653,0,95,521,0,174,583,964,741,944,327,1
9440,205,1771,8237,407,2116,5006,6034,4163,5646,5581,1
6669,128,937,2343,432,1600,3402,12880,12284,14762,6611,1
3469,81,460,1888,267,989,2255,2274,1912,3140,2290,1
32,246,0,19,0,13,32,26,18,14,5,0
5767,292,880,4227,244,1126,2283,4051,2557,3006,2308,1
7414,506,681,2461,630,1849,3521,7638,6878,9129,5988,1
10328,5,933,3189,65,2474,8187,10529,8924,12725,9645,1
2908,0,468,993,144,574,1436,4207,3969,5296,2965,1
7067,62,653,4987,234,1205,2717,4040,2297,2861,3276,1
1535,24,195,1177,58,245,424,785,367,371,669,0
1083,7,68,246,18,305,777,466,127,88,559,1
4403,262,431,1326,394,1249,2243,5874,5404,7772,4695,1
4969,183,572,2551,370,1139,2561,3111,1894,2081,4555,1
