AT,GQ,HB,HD,HF,HG,HI,HM,HO,HQ,HV,HX,HY,IA,ID,IF,IH,IN,IR,LC,LE,LG,LH,LI,NI,OT,SF,TL,UW,WT,YU,AAN,ACE,GC
3082.440714,49,1978,2094,160,87,318,400,1138,1033,100,1139.650284,1054.014288,122,1784,915,137,64,756,1407,996,1164,26.777088,305,310,288,142,435,208,107,0,1517.797864,1396.27437,13.834076
2426.66545,0,1317,1296,0,66,77,265,905,933,100,1122.128907,1087.153516,339,877,975,76,79,835,569,410,593,17.128827,45,158,102,52,176,101,33,0,639.944538,865.262419,-3.061077
1972.445069,0,2937,2906,6,33,246,1029,2298,2029,83.552279,1053.706275,1005.800016,290,854,2800,162,216,1424,1896,1638,2144,32.226063,411,250,226,216,940,261,113,0,1758.408085,1656.648201,6.664256
2879.831482,0,1849,1758,12,114,109,778,2005,1441,100,915.545081,876.572822,307,388,1969,219,28,964,2473,2302,3021,61.728647,765,406,372,234,883,208,157,0,1855.273295,1234.674789,-1.433901
1850.28015,60,2620,2670,96,221,388,506,1296,1559,97.197883,1132.688805,1069.654772,198,2241,1134,125,127,1313,1470,816,1035,18.465656,214,556,358,106,525,99,53,0,1227.700995,1332.953868,0.614966
1765.696283,0,1857,1794,13,97,328,817,1613,1073,83.25864,948.31315,882.62955,175,623,1324,210,96,737,2170,1961,2135,53.751259,420,434,228,162,317,282,113,1,1413.609077,1019.587098,13.601301
1737.285234,0,1836,1782,92,68,137,402,1080,1192,100,1118.489437,1088.489949,322,1685,952,79,80,1090,983,639,888,19.93266,136,232,228,134,277,180,45,0,882.149683,1267.297906,3.489848
1850.869921,135,7146,6950,168,478,383,2312,6116,5136,73.981099,1074.732431,981.171516,1189,2242,7124,663,180,3924,6541,5365,6775,37.9722,1089,1142,936,852,590,574,571,0,5541.627675,6992.05668,-2.191135
857.216967,204,4286,4255,254,434,510,1893,4133,2938,100,999.102135,907.582641,568,1110,4438,288,329,2067,4593,4071,5870,55.830321,1403,950,918,576,1560,874,743,0,4398.648393,4310.576719,8.108593
628.265251,0,4359,4325,11,101,489,1452,3131,2777,99.072555,1063.240817,1014.426862,459,1662,3787,247,438,2023,3035,1864,2022,21.286451,281,558,476,308,247,242,155,0,3138.169694,3738.152428,2.510869
1450.693717,55,1098,1107,103,31,140,458,978,686,63.296383,898.395094,874.956803,134,250,1043,124,72,472,1213,1061,1381,54.649782,337,274,196,112,343,155,102,0,1476.978345,661.256399,14.198221
4269.894587,62,3979,4120,68,95,556,756,1762,2135,100,1139.628775,1090.83166,352,3424,1264,200,237,1623,2473,1662,1618,19.758212,209,490,436,252,277,191,135,0,1202.986496,1514.541168,2.473887
3758.623596,0,5546,5634,72,1467,825,1604,3586,3447,100,1104.54735,989.990716,624,3686,3231,440,192,2735,3792,3003,3730,29.598476,795,722,584,500,657,440,366,0,2701.557647,3313.05218,9.244192
2811.249685,0,2786,2679,123,505,256,683,2086,1962,100,1133.311828,1058.67587,561,2267,1609,205,191,1947,1901,1356,1523,20.690124,228,466,362,176,253,238,170,0,1560.76309,1104.440987,3.853248
2437.199209,70,2392,2323,99,385,223,750,1890,1583,100,1108.379747,1022.466663,337,1547,1629,177,159,1328,2028,1653,1975,33.993115,292,396,258,200,381,309,187,0,1262.939159,1244.011085,3.867941
2126.484852,0,2208,2115,10,38,55,528,1783,1820,100,1106.431726,1078.838889,616,955,2109,127,56,1700,1980,1414,1726,27.066019,192,390,216,188,286,124,119,1,998.674681,1518.471685,2.431046
2283.093856,0,2496,2447,25,36,110,586,1721,1815,93.422068,1101.03278,1074.136031,431,1305,2039,115,136,1785,1256,635,658,10.29734,91,184,112,90,114,73,46,1,1003.375919,1527.683633,1.209746
669.615742,0,1059,1041,65,10,19,237,846,869,32.606883,1113.065043,1066.403026,304,335,1154,70,16,815,750,631,953,30.072578,80,108,88,84,250,105,88,0,900.824813,918.888461,7.905637
2147.271835,128,4229,4106,232,111,329,1596,4168,3173,86.123117,1069.576434,991.797083,564,1615,4253,233,252,2190,4721,4404,5875,55.27851,1129,1210,578,388,1822,677,621,0,4237.024647,2622.273106,0.10345
1016.417736,0,141,135,0,0,0,45,108,111,0,1038.85162,1038.85162,15,37,147,5,0,113,45,13,9,2.412869,0,14,10,0,5,0,0,0,76.344911,111.714723,0
7152.1564,0,2527,2595,70,105,574,605,1170,1201,100,1072.636163,1048.23888,120,1928,895,165,81,870,1926,1248,1332,26.339727,213,466,310,194,134,133,120,0,1005.14384,1327.733896,7.9625
2382.371555,25,7283,7026,95,14,327,1714,5954,5517,100,1145.468616,1087.543114,2057,6119,4405,509,593,4808,6971,5746,7433,37.510093,993,1332,968,848,1730,1438,1266,0,2734.093058,2489.00293,0.754758
3098.724777,113,5062,4886,126,52,418,1258,3962,3461,100,1127.30238,1077.96124,1247,4188,2833,286,562,2860,4738,3852,4387,34.917224,721,828,760,528,1423,880,404,0,2270.366178,1562.291291,2.259933
24.13503,0,455,460,0,0,81,281,360,175,23.913612,1015.714854,825.082636,19,33,430,22,93,92,282,115,94,12.600536,7,62,30,24,13,12,10,0,305.364448,207.051503,0
